dst,cid,dci,next,pattern,class
33,33,0,33,33,normal
67,67,0,67,67,normal
54,54,0,54,54,normal
76,76,0,76,76,normal
72,72,0,72,72,normal
64,64,0,64,64,normal
35,35,0,35,35,normal
68,68,0,68,68,normal
48,48,0,48,48,normal
32,32,0,32,32,normal
2,2,0,2,2,normal
39,39,0,39,39,normal
56,56,0,56,56,normal
44,44,0,44,44,normal
52,52,1,51,52,normal
20,20,0,20,20,normal
1,1,1,0,1,normal
0,0,0,0,0,normal
7,7,1,6,7,normal
13,13,1,12,13,normal
24,24,1,23,24,normal
39,39,1,38,39,normal
29,29,0,29,29,normal
41,41,0,41,41,normal
11,11,0,11,11,normal
30,30,1,29,30,normal
2,2,2,0,2,normal
26,26,1,25,26,normal
4,4,0,4,4,normal
33,33,1,32,33,normal
20,20,1,19,20,normal
37,37,0,37,37,normal
28,28,0,28,28,normal
2,2,1,1,2,normal
23,23,1,22,23,normal
8,8,1,7,8,normal
21,21,1,20,21,normal
9,9,0,9,9,normal
25,25,0,25,25,normal
5,5,1,4,5,normal
24,24,0,24,24,normal
7,7,2,5,7,normal
22,22,0,22,22,normal
28,28,1,27,28,normal
13,13,0,13,13,normal
16,16,1,15,16,normal
40,40,2,38,40,normal
12,12,1,11,12,normal
19,19,1,18,19,normal
26,26,0,26,26,normal
4,4,1,3,4,normal
36,36,0,36,36,normal
3,3,2,1,3,normal
29,29,1,28,29,normal
6,6,0,6,6,normal
10,10,2,8,10,normal
12,12,0,12,12,normal
3,3,3,0,3,normal
7,7,0,7,7,normal
6,6,1,5,6,normal
8,8,2,6,8,normal
5,5,0,5,5,normal
3,3,1,2,3,normal
1,1,0,1,1,normal
13,13,2,11,13,normal
11,11,2,9,11,normal
4,4,2,2,4,normal
17,17,1,16,17,normal
9,9,2,7,9,normal
19,19,0,19,19,normal
11,11,1,10,11,normal
48,48,1,47,48,normal
65,65,1,64,65,normal
80,80,0,80,80,normal
43,43,1,42,43,normal
75,75,0,75,75,normal
64,64,1,63,64,normal
63,63,0,63,63,normal
24,24,2,22,24,normal
49,49,0,49,49,normal
21,21,0,21,21,normal
31,31,1,30,31,normal
38,38,0,38,38,normal
34,34,1,33,34,normal
58,58,0,58,58,normal
27,27,1,26,27,normal
7,7,3,4,7,normal
3,3,0,3,3,normal
60,60,1,59,60,normal
8,8,0,8,8,normal
29,29,2,27,29,normal
30,30,0,30,30,normal
2,2,2,2,2,normal
8,8,4,6,8,normal
8,8,2,8,8,normal
9,9,3,8,9,normal
9,9,2,9,9,normal
5,5,4,3,5,normal
3,3,3,2,3,normal
4,4,4,2,4,normal
7,7,4,5,7,normal
56,56,2,56,56,normal
21,21,2,21,21,normal
29,29,2,29,29,normal
9,9,1,8,9,normal
5,5,2,3,5,normal
9,9,3,6,9,normal
14,14,8,13,14,normal
18,18,7,18,18,normal
11,11,7,10,11,normal
13,13,7,13,13,normal
10,10,10,7,10,normal
7,7,7,7,7,normal
9,9,9,7,9,normal
11,11,11,7,11,normal
8,8,8,7,8,normal
6,6,6,6,6,normal
17,17,11,17,17,normal
14,14,12,13,14,normal
20,20,12,18,20,normal
14,14,7,13,14,normal
7,7,7,6,7,normal
13,13,13,11,13,normal
7,7,7,5,7,normal
37,37,8,36,37,normal
12,12,7,12,12,normal
53,53,7,52,53,normal
15,15,9,15,15,normal
5,5,5,3,5,normal
14,14,2,12,14,normal
36,36,1,35,36,normal
14,14,0,14,14,normal
8,8,2,7,8,normal
8,8,8,8,8,normal
9,9,9,6,9,normal
10,10,6,10,10,normal
10,10,10,9,10,normal
11,11,11,8,11,normal
5,5,5,5,5,normal
9,9,9,8,9,normal
8,8,8,6,8,normal
10,10,0,10,10,normal
10,10,3,7,10,normal
41,41,1,40,41,normal
22,22,1,21,22,normal
17,17,2,15,17,normal
25,25,1,24,25,normal
31,31,2,29,31,normal
15,15,0,15,15,normal
18,18,0,18,18,normal
17,17,0,17,17,normal
15,15,1,14,15,normal
14,14,1,13,14,normal
35,35,1,34,35,normal
37,37,1,36,37,normal
31,31,0,31,31,normal
18,18,2,16,18,normal
10,10,1,9,10,normal
16,16,0,16,16,normal
23,23,0,23,23,normal
42,42,0,42,42,normal
6,6,2,4,6,normal
12,12,2,10,12,normal
4,4,4,0,4,normal
38,38,2,36,38,normal
18,18,1,17,18,normal
34,34,0,34,34,normal
60,0,0,0,60,helloFlood
43,0,0,0,43,helloFlood
41,0,0,0,41,helloFlood
127,0,0,0,127,helloFlood
134,0,0,0,134,helloFlood
184,0,0,0,184,helloFlood
135,0,0,0,135,helloFlood
171,0,0,0,171,helloFlood
162,0,0,0,162,helloFlood
163,0,0,0,163,helloFlood
150,0,0,0,150,helloFlood
142,0,0,0,142,helloFlood
167,0,0,0,167,helloFlood
160,0,0,0,160,helloFlood
166,0,0,0,166,helloFlood
157,0,0,0,157,helloFlood
129,0,0,0,129,helloFlood
176,0,0,0,176,helloFlood
126,0,0,0,126,helloFlood
138,0,0,0,138,helloFlood
116,0,0,0,116,helloFlood
186,0,0,0,186,helloFlood
89,0,0,0,89,helloFlood
107,0,0,0,107,helloFlood
174,0,0,0,174,helloFlood
154,0,0,0,154,helloFlood
110,0,0,0,110,helloFlood
77,0,0,0,77,helloFlood
74,0,0,0,74,helloFlood
75,0,0,0,75,helloFlood
84,0,0,0,84,helloFlood
130,0,0,0,130,helloFlood
95,0,0,0,95,helloFlood
71,0,0,0,71,helloFlood
73,0,0,0,73,helloFlood
117,0,0,0,117,helloFlood
104,0,0,0,104,helloFlood
100,0,0,0,100,helloFlood
94,0,0,0,94,helloFlood
146,0,0,0,146,helloFlood
172,0,0,0,172,helloFlood
136,0,0,0,136,helloFlood
149,0,0,0,149,helloFlood
158,0,0,0,158,helloFlood
156,0,0,0,156,helloFlood
201,0,0,0,201,helloFlood
133,0,0,0,133,helloFlood
178,0,0,0,178,helloFlood
145,0,0,0,145,helloFlood
141,0,0,0,141,helloFlood
125,0,0,0,125,helloFlood
161,0,0,0,161,helloFlood
115,0,0,0,115,helloFlood
103,0,0,0,103,helloFlood
61,0,0,0,61,helloFlood
62,0,0,0,62,helloFlood
54,0,0,0,54,helloFlood
55,0,0,0,55,helloFlood
52,0,0,0,52,helloFlood
87,0,0,0,87,helloFlood
57,0,0,0,57,helloFlood
123,0,0,0,123,helloFlood
121,0,0,0,121,helloFlood
118,0,0,0,118,helloFlood
122,0,0,0,122,helloFlood
148,0,0,0,148,helloFlood
112,0,0,0,112,helloFlood
97,0,0,0,97,helloFlood
132,0,0,0,132,helloFlood
152,0,0,0,152,helloFlood
109,0,0,0,109,helloFlood
80,0,0,0,80,helloFlood
196,0,0,0,196,helloFlood
114,0,0,0,114,helloFlood
111,0,0,0,111,helloFlood
76,0,0,0,76,helloFlood
45,0,0,0,45,helloFlood
44,0,0,0,44,helloFlood
40,0,0,0,40,helloFlood
108,0,0,0,108,helloFlood
105,0,0,0,105,helloFlood
139,0,0,0,139,helloFlood
72,0,0,0,72,helloFlood
113,0,0,0,113,helloFlood
79,0,0,0,79,helloFlood
143,0,0,0,143,helloFlood
98,0,0,0,98,helloFlood
101,0,0,0,101,helloFlood
83,0,0,0,83,helloFlood
66,0,0,0,66,helloFlood
85,0,0,0,85,helloFlood
93,0,0,0,93,helloFlood
